iter	Logloss
0	0.6263229703
1	0.5767619505
2	0.5232372219
3	0.4780244176
4	0.4377363376
5	0.4020810476
6	0.3766744027
7	0.3463507479
8	0.3214877741
9	0.3038439439
10	0.2820300677
11	0.2620881235
12	0.2461901944
13	0.2313634397
14	0.2183888137
15	0.2062186696
16	0.1958310919
17	0.1864846883
18	0.1783723623
19	0.1711031048
20	0.1647660447
21	0.1586898841
22	0.1529107119
23	0.1479695539
24	0.1434779428
25	0.1391973389
26	0.1354619282
27	0.1322430553
28	0.1292219776
29	0.1266052985
30	0.1240915072
31	0.1217764866
32	0.119497858
33	0.1174995182
34	0.1160507239
35	0.1145112636
36	0.1132794987
37	0.1116270199
38	0.1105514711
39	0.1093173935
40	0.1082249011
41	0.1071423695
42	0.1063135992
43	0.105508711
44	0.1046952291
45	0.1041120996
46	0.1032574448
47	0.1024356722
48	0.1017226397
49	0.1010633566
50	0.1005507351
51	0.09993682196
52	0.09927823341
53	0.09855546928
54	0.09784990731
55	0.09743377464
56	0.09685752444
57	0.09630071534
58	0.09582303765
59	0.09547856587
60	0.09511596827
61	0.09468329848
62	0.09428125709
63	0.09397503204
64	0.09351826592
65	0.09321027483
66	0.09287750022
67	0.09263929316
68	0.09233840314
69	0.09203118054
70	0.09171562287
71	0.0914254177
72	0.09114917081
73	0.09082376328
74	0.09054493015
75	0.09019863323
76	0.09004461921
77	0.08970453664
78	0.08953719982
79	0.08928145808
80	0.08899573079
81	0.08880802921
82	0.08860670187
83	0.08828292736
84	0.08804786811
85	0.08782460949
86	0.08767665466
87	0.08743181206
88	0.08727561082
89	0.08700685663
90	0.08675294003
91	0.08648774745
92	0.08637769944
93	0.08622698103
94	0.08602009697
95	0.08580499607
96	0.0855828754
97	0.08538120815
98	0.08526813054
99	0.08507739938
100	0.08490788273
101	0.08469202813
102	0.08451521091
103	0.0843789163
104	0.08413004656
105	0.08400185795
106	0.08386327268
107	0.08370750741
108	0.08348468476
109	0.08332730864
110	0.08321443054
111	0.08303762071
112	0.08289532604
113	0.08275348211
114	0.0826424661
115	0.08241228376
116	0.08230137121
117	0.082144468
118	0.08197415331
119	0.08184104347
120	0.08173400288
121	0.08156566851
122	0.08139231684
123	0.08124843348
124	0.08110365602
125	0.08093303099
126	0.08077173118
127	0.08064698596
128	0.08042287018
129	0.08029604859
130	0.08009993805
131	0.07999279401
132	0.07980972549
133	0.07965950215
134	0.07954895167
135	0.07945490876
136	0.07931618309
137	0.07918172841
138	0.07904102981
139	0.078964093
140	0.07878577576
141	0.07867802581
142	0.07854426571
143	0.07839795129
144	0.07830509066
145	0.07819924712
146	0.07811586689
147	0.07797294413
148	0.07784533189
149	0.07771923444
150	0.07757756046
151	0.07751228388
152	0.07739472101
153	0.07721965503
154	0.07710788533
155	0.07704150775
156	0.07694985895
157	0.07685384312
158	0.07672178994
159	0.07660590442
160	0.07648145477
161	0.0764067569
162	0.07628498955
163	0.07612499025
164	0.07604401152
165	0.07596227909
166	0.07589491135
167	0.07572590456
168	0.07556642251
169	0.07547613333
170	0.0752572787
171	0.07516346486
172	0.07509187786
173	0.07498309341
174	0.07484562391
175	0.0747416868
176	0.07463698861
177	0.07449187124
178	0.07439855987
179	0.07429463015
180	0.07419780149
181	0.07409254171
182	0.07402633408
183	0.07392286989
184	0.07379341772
185	0.07368212832
186	0.07357514684
187	0.07349631838
188	0.07341031497
189	0.07334342753
190	0.07320728071
191	0.07308554291
192	0.07302488461
193	0.07290736607
194	0.07281401036
195	0.07267939311
196	0.07259966317
197	0.07250471138
198	0.07241714145
199	0.07230936933
200	0.07227762513
201	0.07222730438
202	0.07212593134
203	0.07201428725
204	0.07194117068
